year,month,age,male,female
2015,4,0,1025,979
2015,4,1,1115,1047
2015,4,2,1115,1039
2015,4,3,1145,1078
2015,4,4,1194,1120
2015,4,5,1176,1085
2015,4,6,1240,1168
2015,4,7,1233,1124
2015,4,8,1245,1207
2015,4,9,1098,1187
2015,4,10,1210,1163
2015,4,11,1275,1217
2015,4,12,1213,1271
2015,4,13,1320,1266
2015,4,14,1291,1291
2015,4,15,1371,1298
2015,4,16,1391,1332
2015,4,17,1356,1329
2015,4,18,1321,1294
2015,4,19,1283,1285
2015,4,20,1339,1227
2015,4,21,1377,1180
2015,4,22,1297,1129
2015,4,23,1354,1172
2015,4,24,1291,1147
2015,4,25,1317,1208
2015,4,26,1255,1245
2015,4,27,1343,1276
2015,4,28,1397,1303
2015,4,29,1531,1386
2015,4,30,1513,1412
2015,4,31,1610,1488
2015,4,32,1588,1465
2015,4,33,1601,1512
2015,4,34,1674,1596
2015,4,35,1762,1721
2015,4,36,1818,1633
2015,4,37,1825,1704
2015,4,38,1927,1773
2015,4,39,1941,1916
2015,4,40,2042,1867
2015,4,41,2105,2007
2015,4,42,2011,1904
2015,4,43,2026,1905
2015,4,44,1925,1789
2015,4,45,1797,1725
2015,4,46,1824,1705
2015,4,47,1860,1868
2015,4,48,1604,1540
2015,4,49,1620,1561
2015,4,50,1756,1679
2015,4,51,1620,1629
2015,4,52,1628,1543
2015,4,53,1599,1604
2015,4,54,1664,1727
2015,4,55,1703,1715
2015,4,56,1820,1721
2015,4,57,1684,1678
2015,4,58,1791,1706
2015,4,59,1780,1877
2015,4,60,1910,1939
2015,4,61,1897,2000
2015,4,62,2056,2087
2015,4,63,2192,2225
2015,4,64,2323,2393
2015,4,65,2451,2533
2015,4,66,2466,2400
2015,4,67,2459,2478
2015,4,68,1760,1763
2015,4,69,1172,1271
2015,4,70,1459,1562
2015,4,71,1694,1902
2015,4,72,1481,1790
2015,4,73,1601,1835
2015,4,74,1491,1666
2015,4,75,1338,1465
2015,4,76,1168,1432
2015,4,77,1379,1769
2015,4,78,1214,1649
2015,4,79,1274,1761
2015,4,80,1079,1508
2015,4,81,1001,1502
2015,4,82,1024,1638
2015,4,83,878,1419
2015,4,84,908,1471
2015,4,85,725,1252
2015,4,86,735,1328
2015,4,87,630,1111
2015,4,88,573,1075
2015,4,89,455,986
2015,4,90,315,798
2015,4,91,205,705
2015,4,92,175,532
2015,4,93,134,482
2015,4,94,114,467
2015,4,95,71,278
2015,4,96,48,201
2015,4,97,38,169
2015,4,98,19,119
2015,4,99,13,70
2015,4,100,7,50
2015,4,101,7,39
2015,4,102,4,17
2015,4,103,3,11
2015,4,104,0,8
2015,4,105,2,5
2015,4,106,1,1
2015,4,107,0,2
2015,4,108,0,1
2015,4,109,0,0
2015,4,110,0,0
2015,4,111,0,0
2015,4,112,0,0
2015,4,113,0,0
2015,4,114,0,0
2015,4,115,0,0
2015,4,116,0,0
2015,4,117,0,0
2015,4,118,0,0
2015,4,119,0,0
2015,4,120,0,0
2015,5,0,1047,998
2015,5,1,1074,1056
2015,5,2,1137,1045
2015,5,3,1141,1076
2015,5,4,1190,1119
2015,5,5,1166,1076
2015,5,6,1250,1177
2015,5,7,1242,1121
2015,5,8,1247,1225
2015,5,9,1105,1169
2015,5,10,1206,1160
2015,5,11,1279,1223
2015,5,12,1207,1252
2015,5,13,1322,1286
2015,5,14,1277,1290
2015,5,15,1372,1286
2015,5,16,1385,1312
2015,5,17,1397,1352
2015,5,18,1308,1321
2015,5,19,1299,1320
2015,5,20,1387,1225
2015,5,21,1381,1192
2015,5,22,1314,1141
2015,5,23,1379,1149
2015,5,24,1307,1167
2015,5,25,1317,1214
2015,5,26,1257,1245
2015,5,27,1337,1275
2015,5,28,1394,1321
2015,5,29,1531,1376
2015,5,30,1530,1417
2015,5,31,1605,1503
2015,5,32,1566,1449
2015,5,33,1644,1500
2015,5,34,1666,1612
2015,5,35,1750,1739
2015,5,36,1817,1604
2015,5,37,1821,1711
2015,5,38,1906,1788
2015,5,39,1956,1907
2015,5,40,2026,1878
2015,5,41,2145,2001
2015,5,42,2001,1916
2015,5,43,2008,1877
2015,5,44,1954,1822
2015,5,45,1828,1709
2015,5,46,1809,1731
2015,5,47,1846,1828
2015,5,48,1688,1608
2015,5,49,1576,1524
2015,5,50,1773,1695
2015,5,51,1602,1621
2015,5,52,1657,1548
2015,5,53,1587,1603
2015,5,54,1648,1698
2015,5,55,1691,1718
2015,5,56,1813,1743
2015,5,57,1714,1708
2015,5,58,1816,1695
2015,5,59,1750,1853
2015,5,60,1924,1935
2015,5,61,1891,1988
2015,5,62,2038,2064
2015,5,63,2188,2249
2015,5,64,2278,2386
2015,5,65,2441,2526
2015,5,66,2479,2383
2015,5,67,2485,2499
2015,5,68,1866,1861
2015,5,69,1132,1242
2015,5,70,1431,1520
