年,年,月,年齢[歳],男[人],女[人],人口総数[人]
2017,平成29年,6,0,984,922,1906
2017,平成29年,6,1,1056,958,2014
2017,平成29年,6,2,1062,1004,2066
2017,平成29年,6,3,1083,1056,2139
2017,平成29年,6,4,1131,1041,2172
2017,平成29年,6,5,1130,1073,2203
2017,平成29年,6,6,1197,1119,2316
2017,平成29年,6,7,1136,1057,2193
2017,平成29年,6,8,1232,1169,2401
2017,平成29年,6,9,1246,1127,2373
2017,平成29年,6,10,1252,1217,2469
2017,平成29年,6,11,1100,1179,2279
2017,平成29年,6,12,1180,1152,2332
2017,平成29年,6,13,1291,1218,2509
2017,平成29年,6,14,1206,1261,2467
2017,平成29年,6,15,1305,1243,2548
2017,平成29年,6,16,1302,1300,2602
2017,平成29年,6,17,1358,1291,2649
2017,平成29年,6,18,1324,1272,2596
2017,平成29年,6,19,1311,1349,2660
2017,平成29年,6,20,1351,1256,2607
2017,平成29年,6,21,1340,1279,2619
2017,平成29年,6,22,1388,1120,2508
2017,平成29年,6,23,1353,1097,2450
2017,平成29年,6,24,1210,1106,2316
2017,平成29年,6,25,1287,1090,2377
2017,平成29年,6,26,1220,1137,2357
2017,平成29年,6,27,1354,1186,2540
2017,平成29年,6,28,1254,1248,2502
2017,平成29年,6,29,1315,1245,2560
2017,平成29年,6,30,1372,1319,2691
2017,平成29年,6,31,1499,1349,2848
2017,平成29年,6,32,1534,1359,2893
2017,平成29年,6,33,1578,1472,3050
2017,平成29年,6,34,1537,1462,2999
2017,平成29年,6,35,1620,1460,3080
2017,平成29年,6,36,1644,1571,3215
2017,平成29年,6,37,1725,1707,3432
2017,平成29年,6,38,1804,1639,3443
2017,平成29年,6,39,1838,1702,3540
2017,平成29年,6,40,1896,1818,3714
2017,平成29年,6,41,1950,1883,3833
2017,平成29年,6,42,2098,1875,3973
2017,平成29年,6,43,2121,1981,4102
2017,平成29年,6,44,2001,1950,3951
2017,平成29年,6,45,2022,1864,3886
2017,平成29年,6,46,1947,1821,3768
2017,平成29年,6,47,1818,1721,3539
2017,平成29年,6,48,1788,1724,3512
2017,平成29年,6,49,1789,1804,3593
2017,平成29年,6,50,1750,1659,3409
2017,平成29年,6,51,1518,1527,3045
2017,平成29年,6,52,1795,1681,3476
2017,平成29年,6,53,1612,1599,3211
2017,平成29年,6,54,1655,1545,3200
2017,平成29年,6,55,1571,1594,3165
2017,平成29年,6,56,1587,1697,3284
2017,平成29年,6,57,1708,1698,3406
2017,平成29年,6,58,1801,1721,3522
2017,平成29年,6,59,1668,1723,3391
2017,平成29年,6,60,1813,1681,3494
2017,平成29年,6,61,1701,1843,3544
2017,平成29年,6,62,1938,1920,3858
2017,平成29年,6,63,1851,1951,3802
2017,平成29年,6,64,2020,2047,4067
2017,平成29年,6,65,2148,2228,4376
2017,平成29年,6,66,2228,2328,4556
2017,平成29年,6,67,2372,2502,4874
2017,平成29年,6,68,2424,2401,4825
2017,平成29年,6,69,2437,2468,4905
2017,平成29年,6,70,1882,1942,3824
2017,平成29年,6,71,1095,1212,2307
2017,平成29年,6,72,1330,1485,2815
2017,平成29年,6,73,1609,1873,3482
2017,平成29年,6,74,1436,1727,3163
2017,平成29年,6,75,1533,1823,3356
2017,平成29年,6,76,1410,1625,3035
2017,平成29年,6,77,1298,1487,2785
2017,平成29年,6,78,1062,1349,2411
2017,平成29年,6,79,1245,1688,2933
2017,平成29年,6,80,1181,1555,2736
2017,平成29年,6,81,1167,1710,2877
2017,平成29年,6,82,950,1458,2408
2017,平成29年,6,83,892,1375,2267
2017,平成29年,6,84,882,1508,2390
2017,平成29年,6,85,773,1323,2096
2017,平成29年,6,86,725,1330,2055
2017,平成29年,6,87,606,1112,1718
2017,平成29年,6,88,576,1157,1733
2017,平成29年,6,89,471,947,1418
2017,平成29年,6,90,428,865,1293
2017,平成29年,6,91,319,816,1135
2017,平成29年,6,92,215,627,842
2017,平成29年,6,93,138,520,658
2017,平成29年,6,94,95,408,503
2017,平成29年,6,95,78,340,418
2017,平成29年,6,96,66,308,374
2017,平成29年,6,97,39,190,229
2017,平成29年,6,98,25,109,134
2017,平成29年,6,99,14,100,114
2017,平成29年,6,100,7,60,67
2017,平成29年,6,101,8,34,42
2017,平成29年,6,102,3,29,32
2017,平成29年,6,103,2,11,13
2017,平成29年,6,104,1,6,7
2017,平成29年,6,105歳以上,2,7,9
2017,平成29年,6,全年齢,133699,140182,273881
